id,question,expected_source,answerable,retrieved_sources,retrieval_error,evidence_filter_error,snowflake_answer,snowflake_error,snowflake_response_time_sec,groq_answer,groq_error,groq_response_time_sec
E001,My product arrived broken. Can I send it back?,Returns FAQ,true,returns_faq.md,,,"Yes, you can return a product that arrived damaged. You have 30 calendar days from delivery to return it, and we will pay for the return shipping.",,1.876,Yes – you can return a product that arrived broken within 30 calendar days of delivery. RetailAssist will cover the return‑shipping cost for a confirmed damaged‑on‑arrival return.,,5.157
E002,Who pays the postage if the item was damaged when delivered?,Returns FAQ,true,returns_faq.md,,,RetailAssist pays return shipping when the item arrived damaged.,,1.828,RetailAssist will pay the return shipping cost.,,0.603
E003,Can I return an engraved product because I changed my mind?,Returns FAQ,true,returns_faq.md; return_policy.md,,,I couldn't find a policy that answers that question.,,1.852,I couldn't find a policy that answers that question.,,0.247
E004,How quickly does RetailAssist process an approved refund?,Refunds FAQ,true,supportai_refund_policy.pdf; refunds_faq.md,,,RetailAssist normally completes its refund processing within 3 business days after approval.,,1.986,RetailAssist normally completes its refund processing within **3 business days** after approval.,,0.507
E005,My refund was submitted eight business days ago. What should I do?,Refunds FAQ,true,supportai_refund_policy.pdf; refunds_faq.md,,,"If more than 7 business days have passed since RetailAssist marked the refund as submitted, the customer should first confirm the original payment account. Customer Support can then provide the refund reference and escalate the case to the Payments team if necessary.",,2.648,Confirm the original payment account. Then contact Customer Support; they can provide the refund reference and may escalate the case to the Payments team if necessary.,,0.66
E006,Will my express delivery fee always be refunded?,Refunds FAQ,true,supportai_shipping_policy.pdf,,,I couldn't find a policy that answers that question.,,1.966,I couldn't find a policy that answers that question.,,0.389
E007,How many business days does ordinary delivery take?,Shipping FAQ,true,Shipping FAQ,,,Standard delivery normally takes 3 to 5 business days after the order is shipped.,,2.077,Ordinary (standard) delivery normally takes 3 to 5 business days after the order is shipped.,,0.514
E008,Tracking says delivered but there is no parcel. What should I do?,Shipping FAQ,true,supportai_shipping_policy.pdf,,,Contact support within 48 hours.,,1.591,Contact support within 48 hours.,,0.525
E009,When do you officially treat a shipment as lost?,Shipping FAQ,true,Shipping FAQ; returns_faq.md; refunds_faq.md,,,A package may be classified as lost when it remains undelivered for 7 business days after the estimated delivery date and the carrier cannot confirm a new delivery date.,,2.419,A shipment is considered lost when it hasn’t been delivered for **7 business days after its estimated delivery date** and the carrier can’t confirm a new delivery,,0.791
E010,I dropped my device and cracked it. Is that covered?,Warranty FAQ,true,returns_faq.md; The_Ultimate_Downhill_Bike.pdf,,,"Yes, you can return a product that arrived damaged, including one that was damaged after arrival due to an accident, such as dropping it. According to our return policy, a product that arrives damaged, cracked, broken, leaking, or otherwise unusable may be returned within 30 calendar days of delivery, and we pay the return-shipping cost for a confirmed damaged-on-arrival return.",,3.496,I couldn't find a policy that answers that question.,,1.127
E011,How long is the normal warranty?,Warranty FAQ,true,warranty_faq.md,,,The standard warranty is 12 months.,,1.603,The standard warranty is 12 months.,,0.725
E012,How long is the warranty on a replacement item?,Warranty FAQ,true,warranty_faq.md,,,A replacement product is covered for the longer of 90 calendar days from replacement delivery or the remainder of the original 12-month warranty period.,,2.197,A replacement product is covered for the longer of 90 calendar days from replacement delivery or the remainder of the original 12‑month warranty period.,,0.568
E013,Why is there a pending card charge even though checkout failed?,Payments FAQ,true,payments_faq.md,,,A failed checkout can leave a temporary authorization on the account. This is because RetailAssist does not collect the authorization if the order was not successfully created. Most banks release unused authorizations within 3 to 7 business days.,,2.94,"A failed checkout can leave a temporary authorization on your card. RetailAssist does not collect that authorization if the order was not created, and most banks automatically release the unused authorization within 3 to 7 business days.",,0.655
E014,Can I pay half with one card and half with another?,Payments FAQ,true,payments_faq.md,,,"No, a single RetailAssist order cannot be split across two credit or debit cards.",,1.915,No. A single RetailAssist order cannot be split across two credit or debit cards.,,0.551
E015,Do you accept Bitcoin?,Payments FAQ,true,payments_faq.md,,,"""I couldn't find a policy that answers that question.""",,2.219,I couldn't find a policy that answers that question.,,0.545
E016,Do you offer same-day drone delivery?,NONE,false,supportai_shipping_policy.pdf; Shipping FAQ,,,I couldn't find a policy that answers that question.,,1.708,I couldn't find a policy that answers that question.,,0.582
E017,Can I return a product after five years?,Returns FAQ,true,returns_faq.md; return_policy.md,,,I couldn't find a policy that answers that question.,,1.608,I couldn't find a policy that answers that question.,,0.569
E018,Does the warranty cover theft?,NONE,false,warranty_faq.md,,,I couldn't find a policy that answers that question.,,1.595,I couldn't find a policy that answers that question.,,0.568
E019,Can support agents see my entire card number?,Payments FAQ,true,payments_faq.md,,,RetailAssist stores payment tokens rather than displaying the full card number to customer-service agents.,,1.881,"Support agents cannot view the full card number. RetailAssist stores payment tokens, so only a token—not the complete card details—is visible to customer‑service staff.",,0.591
E020,Can I change the shipping address once the parcel is already on the truck?,Shipping FAQ,true,warranty_faq.md; supportai_shipping_policy.pdf,,,I couldn't find a policy that answers that question.,,2.429,I couldn't find a policy that answers that question.,,0.549
